timestamp,document_id,flag_type,severity,confidence,description,transparency_score,recommendation
2025-09-19 01:14:40.018615,20250801_5_Secc.pdf,ANOMALIA_ML,MEDIO,0.75,Documento marcado como anómalo por algoritmo ML,50,Revisión de patrones inusuales en el documento
2025-09-19 01:14:40.026655,20250801_1_Secc.pdf,TRANSPARENCIA_CRITICA,ALTO,0.7,Score de transparencia crítico: 22.0/100,22,Auditoría manual inmediata requerida
2025-09-19 01:14:40.026920,20250801_4_Secc.pdf,INCONSISTENCIA_CLASIFICACION,INFORMATIVO,0.7,Posible inconsistencia en clasificación de riesgo,75,REVISAR: Posible falso positivo - validación manual recomendada
2025-09-19 01:14:40.026964,20250804_1_Secc.pdf,ANOMALIA_ML,MEDIO,0.75,Documento marcado como anómalo por algoritmo ML,37,Revisión de patrones inusuales en el documento
2025-09-19 01:14:40.027090,20250804_4_Secc.pdf,MONTO_SOSPECHOSO,ALTO,0.8,Documento con montos (19) y baja transparencia,32,Verificar justificación de montos y proceso de adjudicación
2025-09-19 01:14:40.027318,20250804_5_Secc.pdf,MONTO_SOSPECHOSO,ALTO,0.8,Documento con montos (12) y baja transparencia,47,Verificar justificación de montos y proceso de adjudicación
2025-09-19 01:14:40.027446,20250801_3_Secc.pdf,MONTO_SOSPECHOSO,ALTO,0.8,Documento con montos (234) y baja transparencia,34,Verificar justificación de montos y proceso de adjudicación
2025-09-19 01:14:40.027575,20250801_2_Secc.pdf,TRANSPARENCIA_CRITICA,CRITICO,0.9,Score de transparencia crítico: 16.0/100,16,Auditoría manual inmediata requerida
2025-09-19 01:14:40.027580,20250801_2_Secc.pdf,MONTO_SOSPECHOSO,ALTO,0.8,Documento con montos (220) y baja transparencia,16,Verificar justificación de montos y proceso de adjudicación
2025-09-19 01:14:40.027664,20250801_2_Secc.pdf,PATRON_ENTIDADES_OPACO,ALTO,0.8,Múltiples entidades con transparencia muy baja,16,Auditar relaciones entre entidades mencionadas
2025-09-19 01:14:40.027703,20250804_3_Secc.pdf,MONTO_SOSPECHOSO,ALTO,0.8,Documento con montos (226) y baja transparencia,42,Verificar justificación de montos y proceso de adjudicación
2025-09-19 01:14:40.027914,20250805_5_Secc.pdf,INCONSISTENCIA_CLASIFICACION,INFORMATIVO,0.7,Posible inconsistencia en clasificación de riesgo,62,REVISAR: Posible falso positivo - validación manual recomendada
2025-09-19 01:14:40.027955,20250805_4_Secc.pdf,MONTO_SOSPECHOSO,ALTO,0.8,Documento con montos (22) y baja transparencia,32,Verificar justificación de montos y proceso de adjudicación
2025-09-19 01:14:40.028184,20250804_2_Secc.pdf,TRANSPARENCIA_CRITICA,ALTO,0.7,Score de transparencia crítico: 24.0/100,24,Auditoría manual inmediata requerida
2025-09-19 01:14:40.028190,20250804_2_Secc.pdf,MONTO_SOSPECHOSO,ALTO,0.8,Documento con montos (301) y baja transparencia,24,Verificar justificación de montos y proceso de adjudicación
2025-09-19 01:14:40.028273,20250804_2_Secc.pdf,PATRON_ENTIDADES_OPACO,ALTO,0.8,Múltiples entidades con transparencia muy baja,24,Auditar relaciones entre entidades mencionadas
2025-09-19 01:14:40.028315,20250806_4_Secc.pdf,MONTO_SOSPECHOSO,ALTO,0.8,Documento con montos (21) y baja transparencia,32,Verificar justificación de montos y proceso de adjudicación
2025-09-19 01:14:40.028512,20250806_5_Secc.pdf,INCONSISTENCIA_CLASIFICACION,INFORMATIVO,0.7,Posible inconsistencia en clasificación de riesgo,62,REVISAR: Posible falso positivo - validación manual recomendada
2025-09-19 01:14:40.028667,20250805_3_Secc.pdf,MONTO_SOSPECHOSO,ALTO,0.8,Documento con montos (181) y baja transparencia,39,Verificar justificación de montos y proceso de adjudicación
2025-09-19 01:14:40.028792,20250806_3_Secc.pdf,MONTO_SOSPECHOSO,ALTO,0.8,Documento con montos (174) y baja transparencia,34,Verificar justificación de montos y proceso de adjudicación
2025-09-19 01:14:40.028908,20250805_2_Secc.pdf,TRANSPARENCIA_CRITICA,ALTO,0.7,Score de transparencia crítico: 24.0/100,24,Auditoría manual inmediata requerida
2025-09-19 01:14:40.028913,20250805_2_Secc.pdf,MONTO_SOSPECHOSO,ALTO,0.8,Documento con montos (300) y baja transparencia,24,Verificar justificación de montos y proceso de adjudicación
